ticker,classe_papel,primeiro_pregao,ultimo_pregao,n_pregoes,emissor_isin,isin,nome_no_pregao
VAGV3,acao,2005-02-17,2009-11-19,158,VAGV,BRVAGVACNOR4,VARIG
CAFE3,acao,2005-01-03,2012-12-06,151,CAFE,BRCAFEACNOR2,CAF BRASILIA
VTLM3,acao,2016-05-27,2016-12-29,149,VTLM,BRVTLMACNOR3,VITALYZE.ME
BBTG12,acao,2017-02-16,2017-09-08,140,BBTG,BRBBTGUNT015,
TBLE6,acao,2005-01-04,2005-08-08,140,TBLE,BRTBLEACNPB3,TRACTEBEL
ELCA3,acao,2005-01-03,2006-06-20,123,ELCA,BRELCAACNOR0,CAIUA
MLFT3,acao,2005-05-18,2018-01-31,121,MLFT,BRMLFTACNOR6,LA FONTE PAR
VNET3,acao,2009-06-29,2009-12-17,119,VNET,BRVNETACNOR6,VISANET
STLB3,acao,2009-12-17,2011-04-29,107,STLB,BRSTLBACNOR2,STEEL BRASIL
ELCA4,acao,2005-01-12,2006-06-20,104,ELCA,BRELCAACNPR7,CAIUA
IRON3,acao,2008-07-28,2008-12-19,103,IRON,BRIRONACNOR6,IRONX MINER
ARTE4,acao,2005-01-03,2006-06-26,97,ARTE,BRARTEACNPR8,KUALA
DIVO11,unit_etf_fii,2019-08-19,2019-12-30,92,DIVO,BRDIVOCTF002,IT NOW IDIV
BOVA11,unit_etf_fii,2019-08-19,2019-12-30,92,BOVA,BRBOVACTF003,ISHARES BOVA
PIBB11,unit_etf_fii,2019-08-19,2019-12-30,92,PIBB,BRPIBBCTF005,IT NOW PIBB
FNAM11,unit_etf_fii,2019-08-19,2019-12-30,92,FNAM,BRFNAMCTF013,FINAM
FIND11,unit_etf_fii,2019-08-19,2019-12-30,92,FIND,BRFINDCTF007,IT NOW IFNC
BRAX11,unit_etf_fii,2019-08-19,2019-12-30,92,BRAX,BRBRAXCTF002,ISHARES BRAX
BOVB11,unit_etf_fii,2019-08-19,2019-12-30,92,BOVB,BRBOVBCTF001,ETF BRAD BOV
SMAL11,unit_etf_fii,2019-08-19,2019-12-30,92,SMAL,BRSMALCTF002,ISHARES SMAL
BOVV11,unit_etf_fii,2019-08-19,2019-12-30,92,BOVV,BRBOVVCTF009,IT NOW IBOV
MATB11,unit_etf_fii,2019-08-19,2019-12-30,92,MATB,BRMATBCTF001,IT NOW IMAT
IVVB11,unit_etf_fii,2019-08-19,2019-12-30,92,IVVB,BRIVVBCTF001,ISHARE SP500
FNOR11,unit_etf_fii,2019-08-19,2019-12-30,92,FNOR,BRFNORCTF013,FINOR
SPXI11,unit_etf_fii,2019-08-19,2019-12-30,92,SPXI,BRSPXICTF003,IT NOW SPXI
XBOV11,unit_etf_fii,2019-08-19,2019-12-30,92,XBOV,BRXBOVCTF005,CAIXAETFXBOV
GOVE11,unit_etf_fii,2019-08-19,2019-12-30,90,GOVE,BRGOVECTF004,IT NOW IGCT
BBSD11,unit_etf_fii,2019-08-19,2019-12-30,90,BBSD,BRBBSDCTF000,BB ETF SP DV
FSRF11,unit_etf_fii,2019-08-19,2019-12-30,90,FSRF,BRFSRFCTF010,FISET FL REF
ISUS11,unit_etf_fii,2019-08-19,2019-12-30,89,ISUS,BRISUSCTF003,IT NOW ISE
AURA32,acao,2020-07-06,2020-11-09,88,AURA,BRAURABDR001,
ECOO11,unit_etf_fii,2019-08-19,2019-12-30,86,ECOO,BRECOOCTF008,ISHARES ECOO
XPOM11,unit_etf_fii,2019-08-19,2019-12-30,86,XPOM,BRXPOMCTF004,FIP XP OMEGA
PLIM4,acao,2005-01-03,2005-04-29,80,PLIM,BRPLIMACNPR5,NET
CHAP3,acao,2005-01-03,2005-04-29,72,CHAP,BRCHAPACNOR4,CHAPECO
FSTU11,unit_etf_fii,2019-08-19,2019-12-30,71,FSTU,BRFSTUCTF015,FISET TUR
FLCL6,acao,2005-01-03,2007-03-30,71,FLCL,BRFLCLACNPB5,F CATAGUAZES
FPOR11,unit_etf_fii,2019-08-19,2019-12-27,70,FPOR,BRFPORCTF000,FIP PORT SUD
XPIE11,unit_etf_fii,2019-08-19,2019-12-30,69,XPIE,BRXPIECTF003,FIP XP INFRA
VCPA3,acao,2009-08-12,2009-11-17,67,VCPA,BRVCPAACNOR5,V C P
CPFG3,acao,2005-01-06,2005-07-29,65,CPFG,BRCPFGACNOR5,CPFL GERACAO
FSPE11,unit_etf_fii,2019-08-19,2019-12-30,65,FSPE,BRFSPECTF017,FISET PESCA
CGOS3,acao,2005-05-23,2007-10-08,59,CGOS,BRCGOSACNOR1,CELG
FDES11,unit_etf_fii,2019-08-19,2019-12-30,59,FDES,BRFDESCTF005,FUNDES
CPFG4,acao,2005-01-06,2005-07-29,59,CPFG,BRCPFGACNPR2,CPFL GERACAO
BECE3,acao,2005-01-24,2006-05-30,55,BECE,BRBECEACNOR3,EST CEARA
CHAP4,acao,2005-01-03,2005-04-25,55,CHAP,BRCHAPACNPR1,CHAPECO
INBR31,acao,2022-06-20,2022-08-26,50,INBR,BRINBRBDR007,
RCTB41,acao,2005-01-05,2006-11-06,47,RCTB,BRRCTBCSA041,
AQLL11,unit_etf_fii,2019-08-29,2021-06-28,45,AQLL,BRAQLLCTF008,FII AQUILLA
PPLA36,acao,2017-09-11,2017-11-22,43,PPLA,BRPPLABDR002,PPLA
FCCQ11,unit_etf_fii,2019-09-02,2019-12-30,40,FCCQ,BRFCCQCTF005,FIP CONQUEST
HSRE11,unit_etf_fii,2020-12-28,2021-06-15,40,HSRE,BRHSRECTF001,FII HSIRENDA
TANC4,acao,2005-01-03,2005-04-27,38,TANC,BRTANCACNPR1,TAM S/A
FFTL3,acao,2006-08-04,2011-12-21,38,FFTL,BRFFTLACNOR0,FOSFERTIL
MTBR3,acao,2005-01-05,2006-03-28,37,MTBR,BRMTBRACNOR2,MULTIBRAS
VIGT11,unit_etf_fii,2019-11-05,2019-12-30,36,VIGT,BRVIGTCTF004,FIP VINCI IE
INBR32,acao,2022-08-29,2022-10-07,29,INBR,BRINBRBDR007,
TBLE5,acao,2005-01-14,2005-07-12,27,TBLE,BRTBLEACNPA5,TRACTEBEL
BBTG36,acao,2016-07-11,2017-09-08,26,BBTG,BRBBTGBDR002,BTG PACTUAL
LCSA4,acao,2006-09-29,2010-01-14,23,LCSA,BRLCSAACNPR7,PARMALAT
KROT4,acao,2012-03-14,2012-11-30,22,KROT,BRKROTACNPR6,KROTON
RCTB31,acao,2005-01-14,2006-11-13,20,RCTB,BRRCTBCSA033,
TGLT11,unit_etf_fii,2012-02-07,2013-01-07,20,TGLT,BRTGLTBDR003,TGLT
BMBR4,acao,2007-03-06,2007-04-02,20,BMBR,BRBMBRACNPR7,B.MERIDIONAL
PTPA3,acao,2007-11-16,2016-07-05,20,PTPA,BRPTPAACNOR1,PETROPAR
RCTB42,acao,2005-03-07,2006-08-31,18,RCTB,BRRCTBCSA066,
BECE4,acao,2005-02-28,2006-04-19,15,BECE,BRBECEACNPR0,EST CEARA
CTPC4,acao,2007-04-05,2007-06-22,13,CTPC,BRCTPCACNPR2,CTM CITRUS
ILMD3,acao,2005-02-14,2011-11-04,13,ILMD,BRILMDACNOR4,ADUBOS TREVO
TIBR3,acao,2007-07-04,2010-08-12,13,TIBR,BRTIBRACNOR0,MILLENNIUM
BICB11,unit_etf_fii,2007-10-15,2007-10-26,10,BICB,BRBICBCDAM17,BICBANCO
ESUD11,unit_etf_fii,2019-08-26,2024-10-18,10,ESUD,BRESUDCTF004,FIP IE II
ARTE3,acao,2005-03-23,2006-05-15,9,ARTE,BRARTEACNOR1,KUALA
RCSA11,unit_etf_fii,2005-02-17,2007-05-24,9,RCSA,BRRCSACSA011,RCSA
ESUT11,unit_etf_fii,2023-09-12,2026-01-15,9,ESUT,BRESUTCTF000,FIP IE III
TGLT32,acao,2014-10-14,2016-12-20,8,TGLT,BRTGLTBDR003,
PREB11,unit_etf_fii,2013-02-18,2013-03-06,6,PREB,BRPREBBDR001,PACIFIC RUB
ESUU11,unit_etf_fii,2023-12-19,2026-01-15,5,ESUU,BRESUUCTF008,FIP IE I
SMLL11,unit_etf_fii,2024-10-16,2025-10-06,3,SMLL,BRSMLLINDM18,SMALL CAP
IBXL11,unit_etf_fii,2013-10-01,2013-12-02,2,IBXL,BRIBXLINDM19,IBRX 50
CTAP3,acao,2006-11-17,2006-11-17,1,CTAP,BRCTAPACNOR9,CENT AMAPA
TRNA4,acao,2007-04-30,2007-04-30,1,TRNA,BRTRNAACNPR9,TERNA PART
CTCO3,acao,2006-11-17,2006-11-17,1,CTCO,BRCTCOACNOR8,CENT CORUMBA
TRNA3,acao,2007-04-30,2007-04-30,1,TRNA,BRTRNAACNOR2,TERNA PART
